Date,Year,Quarter,Personal current taxes,Taxes on production and imports,Taxes on corporate income,GDP,Total Taxes
2006-01-01,2006,Q1,1320.5,981.8,416.9,13599,2719.2000000000003
2006-04-01,2006,Q2,1351.3,991.7,427.6,13753,2770.6
2006-07-01,2006,Q3,1358.6,1004.1,446.6,13870,2809.2999999999997
2006-10-01,2006,Q4,1397.5,1010.5,409.8,14040,2817.8
2007-01-01,2007,Q1,1466.5,1025.9,413.6,14216,2906.0
2007-04-01,2007,Q2,1495.9,1033.1,407.2,14402,2936.2
2007-07-01,2007,Q3,1498.9,1035.8,370.9,14564,2905.6
2007-10-01,2007,Q4,1508.6,1052.6,352.7,14715,2913.8999999999996
2008-01-01,2008,Q1,1535.1,1045.7,291.9,14707,2872.7000000000003
2008-04-01,2008,Q2,1552.5,1054.7,278.7,14866,2885.8999999999996
2008-07-01,2008,Q3,1497.5,1058.5,264.4,14899,2820.4
2008-10-01,2008,Q4,1444.9,1040.0,162.6,14608,2647.5
2009-01-01,2009,Q1,1202.4,1015.9,166.5,14431,2384.8
2009-04-01,2009,Q2,1131.1,1017.3,188.6,14381,2336.9999999999995
2009-07-01,2009,Q3,1135.3,1028.8,200.7,14449,2364.7999999999997
2009-10-01,2009,Q4,1140.7,1045.3,234.2,14651,2420.2
2010-01-01,2010,Q1,1191.8,1044.6,249.8,14765,2486.2
2010-04-01,2010,Q2,1213.2,1062.1,255.6,14980,2530.9
2010-07-01,2010,Q3,1256.3,1069.1,272.6,15142,2597.9999999999995
2010-10-01,2010,Q4,1289.1,1076.4,284.0,15309,2649.5
2011-01-01,2011,Q1,1426.6,1091.5,277.3,15351,2795.4
2011-04-01,2011,Q2,1445.9,1105.5,276.9,15558,2828.3
2011-07-01,2011,Q3,1471.4,1103.9,248.2,15648,2823.5
2011-10-01,2011,Q4,1470.9,1114.0,287.0,15842,2871.9
2012-01-01,2012,Q1,1468.3,1130.9,310.7,16069,2909.8999999999996
2012-04-01,2012,Q2,1487.7,1133.9,325.0,16207,2946.6000000000004
2012-07-01,2012,Q3,1510.0,1131.3,332.9,16320,2974.2000000000003
2012-10-01,2012,Q4,1572.0,1148.4,332.8,16420,3053.2000000000003
2013-01-01,2013,Q1,1650.8,1175.4,350.6,16648,3176.7999999999997
2013-04-01,2013,Q2,1683.9,1179.4,347.2,16729,3210.5
2013-07-01,2013,Q3,1676.3,1190.2,353.9,16954,3220.4
2013-10-01,2013,Q4,1699.1,1198.3,356.6,17192,3253.9999999999995
2014-01-01,2014,Q1,1745.8,1215.9,392.6,17198,3354.2999999999997
2014-04-01,2014,Q2,1759.5,1234.8,414.3,17519,3408.6000000000004
2014-07-01,2014,Q3,1799.8,1245.6,386.7,17804,3432.0999999999995
2014-10-01,2014,Q4,1837.7,1254.4,390.4,17912,3482.5000000000005
2015-01-01,2015,Q1,1905.6,1259.1,402.7,18064,3567.3999999999996
2015-04-01,2015,Q2,1943.9,1270.9,408.3,18280,3623.1000000000004
2015-07-01,2015,Q3,1948.3,1275.8,380.2,18402,3604.2999999999997
2015-10-01,2015,Q4,1965.8,1288.0,349.3,18435,3603.1000000000004
2016-01-01,2016,Q1,1925.3,1292.5,364.1,18526,3581.9
2016-04-01,2016,Q2,1944.0,1297.5,367.1,18712,3608.6
2016-07-01,2016,Q3,1972.5,1320.1,375.5,18893,3668.1
2016-10-01,2016,Q4,1993.2,1326.4,353.4,19089,3673.0000000000005
2017-01-01,2017,Q1,2004.2,1336.9,266.9,19280,3608.0000000000005
2017-04-01,2017,Q2,2012.3,1353.5,279.6,19439,3645.4
2017-07-01,2017,Q3,2055.1,1372.0,295.7,19693,3722.7999999999997
2017-10-01,2017,Q4,2123.7,1393.5,296.9,20037,3814.1
2018-01-01,2018,Q1,2071.6,1423.3,270.4,20329,3765.2999999999997
2018-04-01,2018,Q2,2058.1,1440.9,289.5,20581,3788.5
2018-07-01,2018,Q3,2085.3,1463.6,287.1,20799,3836.0
2018-10-01,2018,Q4,2081.6,1500.6,293.3,20918,3875.5
2019-01-01,2019,Q1,2155.4,1508.3,269.2,21112,3932.8999999999996
2019-04-01,2019,Q2,2217.7,1520.2,282.4,21398,4020.2999999999997
2019-07-01,2019,Q3,2195.3,1553.6,281.0,21717,4029.9
2019-10-01,2019,Q4,2226.2,1552.4,302.2,21933,4080.7999999999997
2020-01-01,2020,Q1,2247.7,1557.2,255.9,21728,4060.7999999999997
2020-04-01,2020,Q2,2107.4,1418.0,266.0,19935,3791.4
2020-07-01,2020,Q3,2248.2,1539.4,340.1,21685,4127.7
2020-10-01,2020,Q4,2377.8,1570.4,333.6,22069,4281.8
2021-01-01,2021,Q1,2547.7,1598.3,373.1,22657,4519.1
2021-04-01,2021,Q2,2675.6,1704.8,437.6,23369,4818.0
2021-07-01,2021,Q3,2750.0,1722.1,463.9,23922,4936.0
2021-10-01,2021,Q4,2847.0,1775.1,526.0,24777,5148.1
2022-01-01,2022,Q1,3254.1,1812.4,550.4,25215,5616.9
2022-04-01,2022,Q2,3297.4,1853.2,574.7,25806,5725.3
2022-07-01,2022,Q3,3224.9,1868.5,561.2,26272,5654.599999999999
2022-10-01,2022,Q4,3203.3,1866.9,569.1,26734,5639.300000000001
2023-01-01,2023,Q1,2834.2,1877.4,592.9,27164,5304.5
2023-04-01,2023,Q2,2828.4,1885.2,591.9,27454,5305.5
2023-07-01,2023,Q3,2866.0,1896.2,617.8,27968,5380.0
2023-10-01,2023,Q4,2894.3,1913.6,631.7,28297,5439.599999999999
2024-01-01,2024,Q1,2965.6,1938.0,630.3,28624,5533.900000000001
2024-04-01,2024,Q2,3005.4,1954.7,657.4,29017,5617.5
2024-07-01,2024,Q3,3055.6,1975.9,655.7,29375,5687.2
